City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,hasaki,35.7333,140.8333,2.22,59,100,8.08,JP,1707245777
83,say,13.1007,2.3689,28.31,14,92,4.5,NE,1707245778
84,zemio,5.0314,25.1361,25.61,28,4,2.08,CF,1707245778
85,puerto natales,-51.7236,-72.4875,22.25,28,75,6.17,CL,1707245779
86,thompson,55.7435,-97.8558,-19.91,65,40,5.14,CA,1707245736
87,afaahiti,-17.75,-149.2833,27.93,88,100,8.89,PF,1707245771
88,udachny,66.4167,112.4,-26.17,100,93,1.96,RU,1707245781
89,tiksi,71.6872,128.8694,-23.85,99,100,2.72,RU,1707245782
90,barclayville,4.6797,-8.2339,27.86,79,0,4.03,LR,1707245782
91,mao,39.8885,4.2658,12.31,100,75,1.54,ES,1707245783
92,port douglas,-16.4833,145.4667,26.54,84,100,0.95,AU,1707245784
93,aleg,17.0481,-13.9209,30.34,7,4,4.23,MR,1707245784
94,bilibino,68.0546,166.4372,-35.47,100,100,0.61,RU,1707245721
95,mildura,-34.2,142.15,13.37,57,0,5.14,AU,1707245785
96,tumayr,25.7039,45.868,12.76,38,0,3.7,SA,1707245786
97,la'ie,21.6477,-157.9253,23.92,76,0,4.02,US,1707245787
98,gereshk,31.8209,64.5701,10.09,31,89,3.87,AF,1707245788
99,furmanov,57.2508,41.1058,-23.88,100,96,1.86,RU,1707245789
100,aykhal,66.0,111.5,-28.12,100,100,2.47,RU,1707245789
101,amarante,-6.2411,-42.8547,33.25,46,100,2.15,BR,1707245790
102,susuman,62.7833,148.1667,-33.34,99,99,1.34,RU,1707245790
103,san antonio de pale,-1.4014,5.6325,28.55,73,22,1.4,GQ,1707245791
104,guarapari,-20.6667,-40.4975,27.72,84,100,4.25,BR,1707245493
105,port elizabeth,-33.918,25.5701,23.39,88,75,7.72,ZA,1707245707
106,minas de marcona,-15.2119,-75.1103,22.83,72,80,4.47,PE,1707245793
107,la passe,45.5549,-0.8967,10.55,90,100,3.93,FR,1707245794
108,katabu,-4.9333,122.5167,24.7,91,64,1.06,ID,1707245794
109,port mathurin,-19.6833,63.4167,27.05,74,20,6.17,MU,1707245795
110,tura,25.5198,90.2201,14.06,91,0,1.12,IN,1707245796
111,chonchi,-42.6128,-73.8092,16.29,97,100,3.12,CL,1707245796
112,alexandria,31.2156,29.9553,15.3,75,0,3.83,EG,1707245797
113,isafjordur,66.0755,-23.124,-3.21,92,100,8.21,IS,1707245797
114,namibe,-15.1961,12.1522,24.84,81,99,1.69,AO,1707245798
